b0001	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	1	0	2	1	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	66
b0002	15	36	14	26	10	13	8	13	2	43	18	19	3	4	0	2	22	12	22	16	30	14	11	19	3	9	3	6	2	18	11	19	11	10	6	9	3	12	40	13	5	19	2	8	22	22	9	10	8	6	12	8	30	15	1	19	18	0	0	1	0	2463
b0003	5	9	6	17	3	6	2	5	0	15	5	4	2	5	0	1	3	7	6	6	8	5	6	4	3	6	2	1	4	9	3	11	0	6	1	3	3	4	15	6	1	3	2	3	8	12	2	5	3	3	5	3	7	9	0	8	5	0	1	0	0	933
b0004	10	8	5	24	5	12	1	6	1	29	9	7	1	0	0	0	17	5	8	11	20	4	13	11	3	1	0	3	9	11	5	16	0	2	3	5	3	6	19	10	4	11	2	6	11	11	2	4	5	5	4	5	8	9	0	5	5	0	1	0	0	1287
b0005	3	0	3	1	2	0	1	1	1	2	2	4	1	0	0	0	5	2	2	0	4	1	0	0	0	0	1	1	2	5	2	2	1	1	1	0	0	0	2	0	0	0	0	1	3	6	2	0	6	7	2	1	1	1	1	1	2	0	1	0	0	297
b0006	2	6	3	8	2	6	4	4	0	15	4	7	2	2	0	0	11	7	9	4	13	4	8	8	0	0	3	0	2	7	5	9	0	4	2	1	1	7	7	9	1	6	0	6	5	6	1	2	3	0	5	5	8	9	0	0	1	0	1	0	0	777
b0007	5	18	11	22	5	7	10	7	3	21	4	13	0	3	0	0	5	1	6	10	8	3	25	9	5	3	4	2	5	10	5	15	4	5	2	5	6	9	5	4	4	15	2	3	12	20	8	5	4	1	7	4	20	15	4	10	11	0	1	0	0	1431
b0008	10	3	11	15	0	2	4	2	0	25	14	2	0	0	0	0	18	4	2	9	12	9	2	5	2	1	1	0	1	8	1	14	5	4	2	1	0	4	19	6	3	12	1	1	5	10	0	2	0	2	3	9	10	16	0	5	1	0	1	0	0	954
b0009	1	1	6	8	4	2	2	1	1	10	4	6	0	0	2	0	3	3	1	2	5	4	4	1	1	2	2	3	2	6	1	8	2	2	0	2	2	4	11	6	3	3	1	7	5	7	1	1	2	1	1	2	5	8	0	6	0	0	1	0	0	588
b0010	3	6	6	5	1	1	3	0	0	26	0	2	0	0	0	0	4	1	2	7	1	1	7	11	0	1	0	0	1	4	2	2	2	1	0	0	0	2	2	2	2	7	0	3	14	12	0	1	0	3	2	4	9	6	0	4	1	0	1	0	0	567
b0011	0	10	5	4	4	8	3	3	1	20	1	10	2	2	0	1	12	4	8	3	6	3	6	1	1	1	1	1	1	1	5	7	1	2	2	2	2	6	9	8	2	4	0	2	5	5	3	4	8	3	2	1	5	2	0	4	3	0	0	1	0	714
b0013	0	7	3	3	2	0	1	3	0	7	2	3	0	0	0	0	9	0	2	7	4	6	2	1	1	3	2	0	0	1	2	3	1	2	3	3	1	6	3	0	1	3	0	4	2	3	0	1	3	0	1	0	7	3	2	3	1	0	1	0	0	405
b0014	29	7	19	15	0	0	0	1	2	45	15	10	0	0	0	0	42	8	0	26	22	33	5	10	1	0	2	0	2	19	2	35	14	6	0	0	0	5	43	7	18	22	0	4	32	14	0	1	3	5	3	4	12	31	1	24	3	0	1	0	0	1917
b0015	7	3	7	10	2	1	2	2	1	15	11	14	0	0	1	1	18	8	0	8	10	10	8	9	6	4	1	0	3	12	6	17	2	2	1	1	0	6	17	14	3	10	3	2	24	25	3	1	5	5	5	5	5	8	0	10	6	0	1	0	0	1131
b0016	16	10	16	6	6	5	5	7	7	17	10	9	7	6	3	0	7	8	7	3	12	11	10	3	4	1	3	8	1	2	4	4	2	1	7	3	4	4	19	4	6	5	5	3	7	6	10	6	5	3	3	3	7	5	5	4	3	0	1	0	0	1113
b0018	2	2	1	3	0	0	1	1	0	3	1	0	1	0	3	0	1	5	0	1	0	2	0	1	3	0	1	0	0	0	0	2	0	1	0	0	0	0	1	4	2	1	1	3	0	1	0	0	1	1	0	1	1	4	0	3	3	0	1	0	0	210
b4412	2	2	0	3	0	0	0	1	0	2	0	0	1	0	1	0	1	2	0	0	0	1	0	1	2	0	0	0	0	0	0	2	0	1	0	0	0	0	1	3	1	1	0	3	0	1	0	0	1	1	0	1	1	4	0	3	2	0	1	0	0	153
